SPEAKER         id       #SENT      #WORD       Corr        Sub        Ins        Del        Err      S.Err
M127247669      raw         24        229        193          2          3         34         39         13
M127247669      sys         24        229      84.28       0.87       1.31      14.85      17.03      54.17
M1276658267     raw         43        451        438          2          3         11         16          5
M1276658267     sys         43        451      97.12       0.44       0.67       2.44       3.55      11.63
M1294100621     raw         14        229        184         12          2         33         47          8
M1294100621     sys         14        229      80.35       5.24       0.87      14.41      20.52      57.14
M1297703429     raw         13        191        162         11          8         18         37          9
M1297703429     sys         13        191      84.82       5.76       4.19       9.42      19.37      69.23
M1302184198     raw          1          1          0          1          0          0          1          1
M1302184198     sys          1          1       0.00     100.00       0.00       0.00     100.00     100.00
M132398937      raw         38        217        209          3          2          5         10          5
M132398937      sys         38        217      96.31       1.38       0.92       2.30       4.61      13.16
M1324093404     raw         25        163        151         11          4          1         16          8
M1324093404     sys         25        163      92.64       6.75       2.45       0.61       9.82      32.00
M1330235219     raw          9         79         50         11          6         18         35          8
M1330235219     sys          9         79      63.29      13.92       7.59      22.78      44.30      88.89
M1330336739     raw          8         73         63          5          6          5         16          4
M1330336739     sys          8         73      86.30       6.85       8.22       6.85      21.92      50.00
M1333381954     raw         17        232        179         29         46         24         99         12
M1333381954     sys         17        232      77.16      12.50      19.83      10.34      42.67      70.59
M1334708601     raw         53        744        480         48         16        216        280         45
M1334708601     sys         53        744      64.52       6.45       2.15      29.03      37.63      84.91
M1335982530     raw         62        438        394         14         12         30         56         18
M1335982530     sys         62        438      89.95       3.20       2.74       6.85      12.79      29.03
M1336419918     raw         29        337        255         28         14         54         96         16
M1336419918     sys         29        337      75.67       8.31       4.15      16.02      28.49      55.17
M1338611540     raw         10         62         31          3          0         28         31          6
M1338611540     sys         10         62      50.00       4.84       0.00      45.16      50.00      60.00
M1338990790     raw         29        398        307         17          0         74         91         19
M1338990790     sys         29        398      77.14       4.27       0.00      18.59      22.86      65.52
M1341707813     raw         20        287        270          5          3         12         20          9
M1341707813     sys         20        287      94.08       1.74       1.05       4.18       6.97      45.00
M1343340906     raw         20        127        116          1          4         10         15          6
M1343340906     sys         20        127      91.34       0.79       3.15       7.87      11.81      30.00
M1344894347     raw          7        229        220          6         87          3         96          5
M1344894347     sys          7        229      96.07       2.62      37.99       1.31      41.92      71.43
M1348262615     raw         20        218        207          2          2          9         13          5
M1348262615     sys         20        218      94.95       0.92       0.92       4.13       5.96      25.00
M1348840407     raw         41        445        413          9          2         23         34         14
M1348840407     sys         41        445      92.81       2.02       0.45       5.17       7.64      34.15
M1350215757     raw         18        190        175          6          4          9         19          7
M1350215757     sys         18        190      92.11       3.16       2.11       4.74      10.00      38.89
M135249893      raw         18        150        125          6          2         19         27         10
M135249893      sys         18        150      83.33       4.00       1.33      12.67      18.00      55.56
M1355087437     raw          4        118         96          6          0         16         22          3
M1355087437     sys          4        118      81.36       5.08       0.00      13.56      18.64      75.00
M1364255883     raw          1          1          1          0          0          0          0          0
M1364255883     sys          1          1     100.00       0.00       0.00       0.00       0.00       0.00
M1367335197     raw         16        164        162          0          3          2          5          4
M1367335197     sys         16        164      98.78       0.00       1.83       1.22       3.05      25.00
M1369913871     raw         28        494        316         26         22        152        200         25
M1369913871     sys         28        494      63.97       5.26       4.45      30.77      40.49      89.29
M1371271        raw         17        104         92          3         17          9         29          9
M1371271        sys         17        104      88.46       2.88      16.35       8.65      27.88      52.94
M1389832990     raw          3        622        167         65          0        390        455          3
M1389832990     sys          3        622      26.85      10.45       0.00      62.70      73.15     100.00
M1395887619     raw         13        314        265          5          2         44         51          9
M1395887619     sys         13        314      84.39       1.59       0.64      14.01      16.24      69.23
M1407301834     raw         24        315        260          4         14         51         69         14
M1407301834     sys         24        315      82.54       1.27       4.44      16.19      21.90      58.33
M144442992      raw         23        405        398          0          2          7          9          7
M144442992      sys         23        405      98.27       0.00       0.49       1.73       2.22      30.43
M162608079      raw         25        277        198         45          4         34         83         18
M162608079      sys         25        277      71.48      16.25       1.44      12.27      29.96      72.00
M164219604      raw         27        299        232         22         10         45         77         13
M164219604      sys         27        299      77.59       7.36       3.34      15.05      25.75      48.15
M168328590      raw         17        124        119          2          0          3          5          2
M168328590      sys         17        124      95.97       1.61       0.00       2.42       4.03      11.76
M175408183      raw         21        300        255         13          7         32         52         15
